District,County Name,City,Locale,Charter,Students,Teachers,Student Teacher Ratio,Directly Certified,Type
Wachusett,Worcester County,Holden,"Suburban, Large",No,773,52.18,14.81,107,Regular
Boston,Suffolk County,Roslindale,"City, Large",No,155,14.46,10.72,63,Regular
Southern Berkshire,Berkshire County,Sheffield,"Rural, Distant",No,278,35.47,7.84,106,Regular
Mount Greylock,Berkshire County,Williamstown,"Rural, Fringe",No,539,47.1,11.44,111,Regular
Berkshire Hills,Berkshire County,Great Barrington,"Rural, Fringe",No,365,39.5,9.24,173,Regular
Falmouth,Barnstable County,Falmouth,"Suburban, Large",No,364,34.8,10.46,139,Regular
Hudson,Middlesex County,Hudson,"Rural, Fringe",No,249,28.2,8.83,90,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,320,30.29,10.56,160,Regular
Winchester,Middlesex County,Winchester,"Suburban, Large",No,352,32.3,10.9,53,Regular
Winchendon,Worcester County,Winchendon,"Town, Fringe",No,1,0.25,4,†,Other/Alternative
Winchendon,Worcester County,Winchendon,"Town, Fringe",No,256,22.69,11.28,134,Regular
Winchendon,Worcester County,Winchendon,"Town, Fringe",No,281,19.35,14.52,148,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,855,70.86,12.07,577,Regular
Mystic Valley Regional Charter,Middlesex County,Malden,"Suburban, Large",Yes,1698,109.32,15.53,519,Regular
Westford,Middlesex County,Westford,"Suburban, Large",No,345,27.33,12.62,24,Regular
Nantucket,Nantucket County,Nantucket,"Town, Distant",No,399,43,9.28,177,Regular
Nantucket,Nantucket County,Nantucket,"Town, Distant",No,596,54.95,10.85,172,Regular
Nantucket,Nantucket County,Nantucket,"Town, Distant",No,366,37.5,9.76,133,Regular
Wachusett,Worcester County,Rutland,"Rural, Fringe",No,353,26.25,13.45,63,Regular
Narragansett,Worcester County,Baldwinville,"Rural, Fringe",No,366,25.35,14.44,125,Regular
Narragansett,Worcester County,Baldwinville,"Rural, Fringe",No,492,40.21,12.24,171,Regular
Nashoba,Worcester County,Bolton,"Suburban, Large",No,806,67.04,12.02,100,Regular
Nashoba Valley Regional Vocational Technical,Middlesex County,Westford,"Suburban, Large",No,767,63.88,12.01,231,Vocational
Plymouth,Plymouth County,Plymouth,"Suburban, Large",No,511,41.45,12.33,163,Regular
Natick,Middlesex County,Natick,"Suburban, Large",No,1761,140.2,12.56,265,Regular
Nauset,Barnstable County,North Eastham,"Rural, Fringe",No,737,75.1,9.81,202,Regular
Nauset,Barnstable County,Orleans,"Suburban, Large",No,455,52.65,8.64,177,Regular
Needham,Norfolk County,Needham,"Suburban, Large",No,1633,137.43,11.88,94,Regular
