District,County Name,City,Locale,Charter,Students,Teachers,Student Teacher Ratio,Directly Certified,Type
Southbridge,Worcester County,Southbridge,"Rural, Fringe",No,419,42.6,9.84,325,Regular
Southbridge,Worcester County,Southbridge,"Rural, Fringe",No,380,40.97,9.28,306,Regular
Institutional Schools,Worcester County,Westborough,"Suburban, Large",No,–,–,†,†,Special Education
Southeastern Regional Vocational Technical,Bristol County,South Easton,"Suburban, Large",No,1618,133,12.17,699,Vocational
Southwick-Tolland-Granville Regional School District,Hampden County,Southwick,"Suburban, Large",No,588,53.58,10.97,190,Regular
Lawrence,Essex County,Lawrence,"Suburban, Large",No,443,47,9.43,387,Regular
North Middlesex,Middlesex County,Townsend,"Rural, Fringe",No,413,30.1,13.72,105,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,575,42.08,13.66,406,Regular
Boxford,Essex County,Boxford,"Rural, Fringe",No,411,41.5,9.9,31,Regular
Wellesley,Norfolk County,Wellesley,"Suburban, Large",No,289,24.65,11.72,32,Regular
West Bridgewater,Plymouth County,West Bridgewater,"Suburban, Large",No,112,6.84,16.37,23,Regular
Shrewsbury,Worcester County,Shrewsbury,"Suburban, Large",No,304,21.11,14.4,27,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,1983,162.63,12.19,1576,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,237,18.77,12.63,197,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,1091,88.38,12.34,943,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,38,2.19,17.35,35,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,95,7.25,13.1,82,Regular
Springfield International Charter,Hampden County,Springfield,"City, Midsize",Yes,1511,91.97,16.43,954,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,299,27,11.07,282,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,18,4.46,4.04,15,Regular
Springfield Preparatory Charter School,Hampden County,Springfield,"City, Midsize",Yes,486,43.2,11.25,374,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,33,9.4,3.51,29,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,65,10.26,6.34,61,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,60,9.21,6.51,57,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,212,13.95,15.2,195,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,110,6.01,18.3,100,Special Education
North Middlesex,Middlesex County,Townsend,"Rural, Fringe",No,89,5.2,17.12,37,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,343,25.02,13.71,116,Regular
Milford,Worcester County,Milford,"Suburban, Large",No,989,89.9,11,580,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,615,60.33,10.19,431,Regular
Bellingham,Norfolk County,Bellingham,"Suburban, Large",No,280,22.6,12.39,107,Regular
Ware,Hampshire County,Ware,"Rural, Fringe",No,396,29.4,13.47,276,Regular
Dennis-Yarmouth,Barnstable County,South Yarmouth,"Suburban, Large",No,406,37.05,10.96,205,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,224,32.02,7,144,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,269,24.06,11.18,216,Regular
Topsfield,Essex County,Topsfield,"Rural, Fringe",No,347,31.04,11.18,15,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,56,13.38,4.19,52,Regular
Stoneham,Middlesex County,Stoneham,"Suburban, Large",No,689,66.08,10.43,152,Regular
Stoneham,Middlesex County,Stoneham,"Suburban, Large",No,94,10,9.4,16,Regular
Stoneham,Middlesex County,Stoneham,"Suburban, Large",No,599,55.88,10.72,152,Regular
Brewster,Barnstable County,Brewster,"Suburban, Large",No,242,27.5,8.8,90,Regular
Westford,Middlesex County,Westford,"Suburban, Large",No,546,42.3,12.91,45,Regular
Hampden-Wilbraham,Hampden County,Wilbraham,"Suburban, Large",No,317,22.34,14.19,58,Regular
Stoughton,Norfolk County,Stoughton,"Suburban, Large",No,1118,103.79,10.77,494,Regular
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,229,20.34,11.26,131,Regular
Sturgis Charter Public,Barnstable County,Hyannis,"City, Small",Yes,825,88.57,9.31,†,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,940,73.48,12.79,681,Regular
Lynnfield,Essex County,Lynnfield,"Suburban, Large",No,440,32,13.75,26,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,490,47.45,10.33,436,Regular
Boston,Suffolk County,Roslindale,"City, Large",No,576,50.83,11.33,318,Regular
Everett,Middlesex County,Everett,"Suburban, Large",No,615,53.91,11.41,475,Regular
Sunderland,Franklin County,Sunderland,"Town, Fringe",No,174,24.33,7.15,63,Regular
Needham,Norfolk County,Needham,"Suburban, Large",No,533,40.68,13.1,36,Regular
Revere,Suffolk County,Revere,"Suburban, Large",No,545,61.17,8.91,355,Regular
Sutton,Worcester County,Sutton,"Rural, Fringe",No,324,24.25,13.36,49,Regular
Sutton,Worcester County,Sutton,"Rural, Fringe",No,287,24.25,11.84,52,Regular
Sutton,Worcester County,Sutton,"Rural, Fringe",No,367,29.16,12.59,67,Regular
Sutton,Worcester County,Sutton,"Rural, Fringe",No,313,22.36,14,49,Regular
Groton-Dunstable,Middlesex County,Dunstable,"Rural, Fringe",No,210,16.1,13.04,15,Regular
Swampscott,Essex County,Swampscott,"Suburban, Large",No,734,63.6,11.54,127,Regular
Swampscott,Essex County,Swampscott,"Suburban, Large",No,706,60.55,11.66,171,Regular
Swampscott,Essex County,Swampscott,"Suburban, Large",No,654,60.1,10.88,129,Regular
Auburn,Worcester County,Auburn,"Suburban, Large",No,554,40.6,13.65,165,Regular
New Salem-Wendell,Franklin County,New Salem,"Rural, Distant",No,134,14.6,9.18,46,Regular
Belchertown,Hampshire County,Belchertown,"Rural, Fringe",No,445,34.76,12.8,111,Regular
Chicopee,Hampden County,Chicopee,"Suburban, Large",No,222,16,13.88,122,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,824,88.74,9.29,510,Regular
Uxbridge,Worcester County,Uxbridge,"Suburban, Large",No,526,43,12.23,144,Regular
Berlin-Boylston,Worcester County,Boylston,"Rural, Fringe",No,522,47.07,11.09,80,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,582,48.43,12.02,459,Regular
Tantasqua,Worcester County,Fiskdale,"Rural, Fringe",No,576,49.4,11.66,158,Regular
Tantasqua,Worcester County,Fiskdale,"Rural, Fringe",No,632,82.5,7.66,148,Regular
Tantasqua,Worcester County,Fiskdale,"Rural, Fringe",No,542,8.15,66.5,160,Vocational
West Springfield,Hampden County,West Springfield,"Suburban, Large",No,277,23.5,11.79,94,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,376,27.7,13.57,226,Regular
Taunton,Bristol County,Taunton,"Suburban, Large",No,74,4.75,15.58,59,Other/Alternative
Taunton,Bristol County,Taunton,"Suburban, Large",No,2877,173.5,16.58,1563,Regular
Taunton,Bristol County,Taunton,"Suburban, Large",No,58,4,14.5,47,Regular
Falmouth,Barnstable County,East Falmouth,"Suburban, Large",No,236,26.6,8.87,116,Regular
TEC Connections Academy Commonwealth Virtual School District,Norfolk County,East Walpole,"Suburban, Large",No,2969,143.39,20.71,†,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,850,69.73,12.19,728,Regular
Narragansett,Worcester County,Templeton,"Rural, Fringe",No,581,40.82,14.23,212,Regular
Methuen,Essex County,Methuen,"Suburban, Large",No,1246,99.17,12.56,785,Regular
Tewksbury,Middlesex County,Tewksbury,"Suburban, Large",No,696,56.85,12.24,137,Regular
Greenfield,Franklin County,Greenfield,"Town, Distant",No,87,5.5,15.82,56,Regular
Harvard,Worcester County,Harvard,"Rural, Fringe",No,328,29.65,11.06,31,Regular
Harvard,Worcester County,Harvard,"Rural, Fringe",No,244,23.73,10.28,26,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,83,12.2,6.8,70,Regular
Wayland,Middlesex County,Wayland,"Suburban, Large",No,52,4.5,11.56,7,Regular
Brookline,Norfolk County,Brookline,"Suburban, Large",No,50,4.55,10.99,11,Regular
Whitman-Hanson,Plymouth County,Whitman,"Suburban, Large",No,114,5.89,19.35,27,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,593,53.8,11.02,450,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,250,28.23,8.86,215,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,587,46.44,12.64,324,Regular
Bridgewater-Raynham,Plymouth County,Bridgewater,"Suburban, Large",No,10,2.91,3.44,7,Special Education
Medfield,Norfolk County,Medfield,"Suburban, Large",No,574,52.74,10.88,50,Regular
Peabody,Essex County,Peabody,"Suburban, Large",No,645,46.1,13.99,352,Regular
Billerica,Middlesex County,Billerica,"Suburban, Large",No,542,32.05,16.91,122,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,291,21.45,13.57,227,Regular
Wachusett,Worcester County,Princeton,"Rural, Fringe",No,355,28.9,12.28,34,Regular
Waltham,Middlesex County,Waltham,"City, Small",No,357,35.2,10.14,156,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,200,18.1,11.05,149,Regular
Weymouth,Norfolk County,Weymouth,"Suburban, Large",No,263,17.7,14.86,99,Regular
Weymouth,Norfolk County,South Weymouth,"Suburban, Large",No,381,28.63,13.31,99,Regular
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,373,25.54,14.6,154,Regular
Arlington,Middlesex County,Arlington,"Suburban, Large",No,537,39.29,13.67,107,Regular
North Andover,Essex County,North Andover,"Suburban, Large",No,294,24.21,12.14,106,Regular
Concord,Middlesex County,Concord,"Suburban, Large",No,401,39.58,10.13,29,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,319,21.43,14.89,204,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,1310,105.78,12.38,982,Regular
Millis,Norfolk County,Millis,"Suburban, Large",No,5,1,5,†,Regular
Haverhill,Essex County,Haverhill,"Suburban, Large",No,471,41.17,11.44,345,Regular
Tisbury,Dukes County,Vineyard Haven,"Town, Fringe",No,312,39.61,7.88,144,Regular
Boston,Suffolk County,Roxbury,"City, Large",No,364,37.9,9.6,325,Regular
Winchendon,Worcester County,Winchendon,"Town, Fringe",No,292,18.23,16.02,164,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,397,33.26,11.94,337,Regular
Tri-County Regional Vocational Technical,Norfolk County,Franklin,"Suburban, Large",No,1000,86.04,11.62,243,Vocational
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,93,14.39,6.46,78,Regular
Triton,Essex County,Byfield,"Rural, Fringe",No,538,50.56,10.64,145,Regular
Triton,Essex County,Byfield,"Rural, Fringe",No,297,30.65,9.69,88,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,352,32.77,10.74,306,Regular
Truro,Barnstable County,Truro,"Town, Fringe",No,78,14.2,5.49,33,Regular
Milton,Norfolk County,Milton,"Suburban, Large",No,454,35.32,12.85,106,Regular
Lunenburg,Worcester County,Lunenburg,"Suburban, Midsize",No,345,19,18.16,84,Regular
Gill-Montague,Franklin County,Montague,"Town, Distant",No,199,23.33,8.53,119,Regular
Boston,Suffolk County,South Boston,"City, Large",No,227,26.18,8.67,178,Regular
Tyngsborough,Middlesex County,Tyngsborough,"Suburban, Large",No,715,56.97,12.55,185,Regular
Tyngsborough,Middlesex County,Tyngsborough,"Suburban, Large",No,405,31.48,12.87,77,Regular
Tyngsborough,Middlesex County,Tyngsborough,"Suburban, Large",No,395,34.72,11.38,91,Regular
Southern Berkshire,Berkshire County,Sheffield,"Rural, Distant",No,260,28.39,9.16,105,Regular
Newton,Middlesex County,Newton Corner,"City, Small",No,253,22.6,11.19,67,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,377,28.86,13.06,330,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,233,20.36,11.44,187,Regular
UP Academy Charter School of Dorchester,Suffolk County,Boston,"City, Large",Yes,640,57.87,11.06,539,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,641,44.4,14.44,564,Regular
Upper Cape Cod Regional Vocational Technical,Barnstable County,Bourne,"Rural, Fringe",No,838,85.9,9.76,318,Vocational
Uxbridge,Worcester County,Uxbridge,"Suburban, Large",No,590,50.85,11.6,153,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,262,22.98,11.4,233,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,206,18,11.44,187,Regular
North Middlesex,Middlesex County,Pepperell,"Town, Fringe",No,606,43,14.09,180,Regular
Cambridge,Middlesex County,Cambridge,"City, Midsize",No,298,42.5,7.01,132,Regular
Veritas Preparatory Charter School,Hampden County,Springfield,"City, Midsize",Yes,712,71.88,9.91,597,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,525,39.13,13.42,442,Regular
Saugus,Essex County,Saugus,"Suburban, Large",No,501,31.42,15.95,243,Regular
Marblehead,Essex County,Marblehead,"Suburban, Large",No,529,48.2,10.98,77,Regular
Foxborough,Norfolk County,Foxborough,"Suburban, Large",No,379,34.51,10.98,100,Regular
Winchester,Middlesex County,Winchester,"Suburban, Large",No,441,35.3,12.49,17,Regular
Berkshire Hills,Berkshire County,Great Barrington,"Rural, Fringe",No,326,31.83,10.24,131,Regular
Wachusett,Worcester County,Holden,"Suburban, Large",No,1779,137.13,12.97,284,Regular
Central Berkshire,Berkshire County,Dalton,"Rural, Fringe",No,450,41.1,10.95,162,Regular
Wakefield,Middlesex County,Wakefield,"Suburban, Large",No,854,81.32,10.5,144,Regular
Wales,Hampden County,Wales,"Rural, Distant",No,93,10.8,8.61,48,Regular
Haverhill,Essex County,Haverhill,"Suburban, Large",No,161,13.4,12.01,78,Regular
Walpole,Norfolk County,Walpole,"Suburban, Large",No,917,81.25,11.29,138,Regular
Walpole,Norfolk County,E. Walpole,"Suburban, Large",No,829,74,11.2,122,Regular
Framingham,Middlesex County,Framingham,"City, Small",No,785,73.61,10.66,357,Regular
Shrewsbury,Worcester County,Shrewsbury,"Suburban, Large",No,269,22.25,12.09,40,Regular
Reading,Middlesex County,Reading,"Suburban, Large",No,467,49.25,9.48,64,Regular
Waltham,Middlesex County,Waltham,"City, Small",No,1791,172.06,10.41,923,Regular
Waltham,Middlesex County,Waltham,"City, Small",No,49,5,9.8,36,Other/Alternative
Wakefield,Middlesex County,Wakefield,"Suburban, Large",No,218,16.06,13.57,24,Regular
Scituate,Plymouth County,Scituate,"Suburban, Large",No,424,33.06,12.83,43,Regular
Attleboro,Bristol County,Attleboro,"Suburban, Large",No,593,40.07,14.8,239,Regular
Ware,Hampshire County,Ware,"Rural, Fringe",No,425,38.27,11.11,238,Regular
Ware,Hampshire County,Ware,"Rural, Fringe",No,261,18.18,14.36,175,Regular
Wareham,Plymouth County,Wareham,"Suburban, Large",No,39,2.75,14.18,25,Regular
Wareham,Plymouth County,Wareham,"Suburban, Large",No,912,71.55,12.75,560,Regular
Wareham,Plymouth County,Wareham,"Suburban, Large",No,432,37.81,11.43,283,Regular
Wareham,Plymouth County,Wareham,"Suburban, Large",No,533,62.02,8.59,338,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,234,25.95,9.02,198,Regular
Quaboag Regional,Worcester County,West Warren,"Rural, Fringe",No,305,19.93,15.3,167,Regular
Boston,Suffolk County,Charlestown,"City, Large",No,507,45.6,11.12,188,Regular
Warwick,Franklin County,Warwick,"Rural, Distant",No,27,5.04,5.36,8,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,430,37.56,11.45,378,Regular
Lowell,Middlesex County,Lowell,"Suburban, Large",No,252,22.93,10.99,174,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,453,40.1,11.3,379,Regular
Watertown,Middlesex County,Watertown,"Suburban, Large",No,761,68.61,11.09,331,Regular
Watertown,Middlesex County,Watertown,"Suburban, Large",No,583,53.91,10.81,217,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,155,13.39,11.58,116,Regular
Wayland,Middlesex County,Wayland,"Suburban, Large",No,803,73.72,10.89,67,Regular
Wayland,Middlesex County,Wayland,"Suburban, Large",No,662,58.72,11.27,49,Regular
Everett,Middlesex County,Everett,"Suburban, Large",No,211,16,13.19,146,Regular
Webster,Worcester County,Webster,"Suburban, Large",No,566,44.5,12.72,383,Regular
Everett,Middlesex County,Everett,"Suburban, Large",No,351,42.87,8.19,249,Regular
Wellesley,Norfolk County,Wellesley,"Suburban, Large",No,919,102.24,8.99,71,Regular
Wellesley,Norfolk County,Wellesley,"Suburban, Large",No,1262,117.05,10.78,109,Regular
Wellfleet,Barnstable County,Wellfleet,"Suburban, Large",No,78,11.85,6.58,30,Regular
Weymouth,Norfolk County,North Weymouth,"Suburban, Large",No,329,25.63,12.84,106,Regular
Institutional Schools,Worcester County,Westborough,"Suburban, Large",No,–,–,†,†,Special Education
Barnstable,Barnstable County,West Barnstable,"City, Small",No,237,24.4,9.71,95,Regular
West Boylston,Worcester County,West Boylston,"Suburban, Large",No,461,43.33,10.64,144,Regular
West Bridgewater,Plymouth County,West Bridgewater,"Suburban, Large",No,614,50.3,12.21,145,Regular
Quaboag Regional,Worcester County,West Brookfield,"Rural, Distant",No,227,19,11.95,86,Regular
Andover,Essex County,Andover,"Suburban, Large",No,605,55.42,10.92,106,Regular
Plymouth,Plymouth County,Plymouth,"Suburban, Large",No,349,33.34,10.47,98,Regular
Wilmington,Middlesex County,Wilmington,"Suburban, Large",No,309,26.83,11.52,39,Regular
Peabody,Essex County,Peabody,"Suburban, Large",No,294,20.83,14.11,69,Regular
Brockton,Plymouth County,Brockton,"Suburban, Large",No,533,38.35,13.9,356,Regular
Gloucester,Essex County,Gloucester,"Suburban, Large",No,382,29,13.17,132,Regular
Somerville,Middlesex County,Somerville,"Suburban, Large",No,397,27.42,14.48,120,Regular
West Springfield,Hampden County,West Springfield,"Suburban, Large",No,1231,93.97,13.1,653,Regular
West Springfield,Hampden County,West Springfield,"Suburban, Large",No,909,79.41,11.45,513,Regular
Southbridge,Worcester County,Southbridge,"Town, Fringe",No,323,28.97,11.15,259,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,343,23.73,14.45,132,Regular
Up-Island Regional,Dukes County,West Tisbury,"Rural, Distant",No,321,47.15,6.81,86,Regular
Barnstable,Barnstable County,Marstons Mills,"City, Small",No,416,32.3,12.88,153,Regular
Boston,Suffolk County,Jamaica Plain,"City, Large",No,76,10.54,7.21,52,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,276,18.5,14.92,241,Regular
Westborough,Worcester County,Westborough,"Suburban, Large",No,1213,94.8,12.8,195,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,1034,86.59,11.94,482,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,729,64.56,11.29,359,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,671,57.19,11.73,344,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,†,†,†,†,Regular
Westfield,Hampden County,Westfield,"Suburban, Large",No,557,58.91,9.46,222,Vocational
Westford,Middlesex County,Westford,"Suburban, Large",No,1504,102.37,14.69,101,Regular
Westhampton,Hampshire County,Westhampton,"Rural, Fringe",No,95,16.4,5.79,22,Regular
Ashburnham-Westminster,Worcester County,Westminster,"Suburban, Midsize",No,375,29.08,12.9,69,Regular
Weston,Middlesex County,Weston,"Suburban, Large",No,658,60.4,10.89,57,Regular
Weston,Middlesex County,Weston,"Suburban, Large",No,451,40.71,11.08,39,Regular
Westport,Bristol County,Westport,"Rural, Fringe",No,463,39.71,11.66,175,Regular
Westport,Bristol County,Westport,"Rural, Fringe",No,889,77.62,11.45,299,Regular
Westwood,Norfolk County,Westwood,"Suburban, Large",No,837,75.49,11.09,69,Regular
Westwood,Norfolk County,Westwood,"Suburban, Large",No,44,3,14.67,4,Regular
Weymouth,Norfolk County,Weymouth,"Suburban, Large",No,222,15.2,14.61,69,Regular
Weymouth,Norfolk County,Weymouth,"Suburban, Large",No,1679,140.97,11.91,632,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,200,17.41,11.49,176,Regular
Whately,Franklin County,Whately,"Rural, Fringe",No,133,16.1,8.26,26,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,378,38.4,9.84,351,Regular
Uxbridge,Worcester County,Uxbridge,"Suburban, Large",No,463,36,12.86,142,Regular
Whitman-Hanson,Plymouth County,Whitman,"Suburban, Large",No,993,67.6,14.69,290,Regular
Whitman-Hanson,Plymouth County,Whitman,"Suburban, Large",No,496,39.9,12.43,152,Regular
Whittier Regional Vocational Technical,Essex County,Haverhill,"Suburban, Large",No,1285,124.02,10.36,469,Vocational
Hampden-Wilbraham,Hampden County,Wilbraham,"Suburban, Large",No,613,47.1,13.01,129,Regular
Amherst,Hampshire County,Amherst,"City, Small",No,314,33.85,9.28,137,Regular
Concord,Middlesex County,Concord,"Suburban, Large",No,432,41.08,10.52,50,Regular
Chelsea,Suffolk County,Chelsea,"Suburban, Large",No,455,37,12.3,368,Regular
Peabody,Essex County,Peabody,"Suburban, Large",No,408,29.2,13.97,284,Regular
Southampton,Hampshire County,Southampton,"Suburban, Small",No,475,37.77,12.58,73,Regular
Westwood,Norfolk County,Westwood,"Suburban, Large",No,278,23.62,11.77,15,Regular
Waltham,Middlesex County,Waltham,"City, Small",No,381,45,8.47,199,Regular
Norwell,Plymouth County,Norwell,"Rural, Fringe",No,556,36.85,15.09,28,Regular
Brookline,Norfolk County,Brookline,"Suburban, Large",No,494,39.15,12.62,88,Regular
New Bedford,Bristol County,New Bedford,"Suburban, Midsize",No,267,21.2,12.59,169,Regular
Needham,Norfolk County,Needham,"Suburban, Large",No,424,33.78,12.55,13,Regular
Springfield,Hampden County,Springfield,"City, Midsize",No,483,33.5,14.42,456,Regular
Winthrop,Suffolk County,Winthrop,"Suburban, Large",No,487,33.1,14.71,183,Regular
Agawam,Hampden County,Agawam,"Suburban, Large",No,290,20.5,14.15,162,Regular
Ashland,Middlesex County,Ashland,"Suburban, Large",No,86,5.67,15.17,14,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,30,9.35,3.21,25,Regular
Fall River,Bristol County,Fall River,"Suburban, Large",No,733,52.97,13.84,621,Regular
Weymouth,Norfolk County,Weymouth,"Suburban, Large",No,372,25.63,14.51,264,Regular
Pittsfield,Berkshire County,Pittsfield,"City, Small",No,264,22.56,11.7,92,Regular
Newton,Middlesex County,Auburndale,"City, Small",No,211,24.6,8.58,29,Regular
Bridgewater-Raynham,Plymouth County,Bridgewater,"Suburban, Large",No,863,47.95,18,237,Regular
Longmeadow,Hampden County,Longmeadow,"Suburban, Large",No,337,28.7,11.74,30,Regular
Mount Greylock,Berkshire County,Williamstown,"Town, Fringe",No,407,39,10.44,89,Regular
Danvers,Essex County,Danvers,"Suburban, Large",No,294,20.8,14.13,75,Regular
Wilmington,Middlesex County,Wilmington,"Suburban, Large",No,619,67.75,9.14,92,Regular
Wilmington,Middlesex County,Wilmington,"Suburban, Large",No,782,82.17,9.52,112,Regular
Natick,Middlesex County,Natick,"Suburban, Large",No,727,72.73,10,92,Regular
Winchendon,Worcester County,Winchendon,"Town, Fringe",No,90,3.67,24.52,43,Regular
Winchester,Middlesex County,Winchester,"Suburban, Large",No,1404,94.81,14.81,102,Regular
Belmont,Middlesex County,Belmont,"Suburban, Large",No,304,23.6,12.88,33,Regular
Boston,Suffolk County,Brighton,"City, Large",No,353,25.4,13.9,184,Regular
Somerville,Middlesex County,Somerville,"Suburban, Large",No,388,46.03,8.43,212,Regular
Melrose,Middlesex County,Melrose,"Suburban, Large",No,392,24.8,15.81,20,Regular
Ipswich,Essex County,Ipswich,"Town, Fringe",No,373,36.85,10.12,92,Regular
Boston,Suffolk County,Dorchester,"City, Large",No,226,24.5,9.22,201,Regular
Winthrop,Suffolk County,Winthrop,"Suburban, Large",No,568,36.9,15.39,199,Regular
Belmont,Middlesex County,Belmont,"Suburban, Large",No,1023,74,13.82,128,Regular
Winthrop,Suffolk County,Winthrop,"Suburban, Large",No,439,33.13,13.25,173,Regular
Hamilton-Wenham,Essex County,South Hamilton,"Suburban, Large",No,329,26.98,12.19,19,Regular
Spencer-E Brookfield,Worcester County,Spencer,"Rural, Fringe",No,430,35.8,12.01,249,Regular
Salem,Essex County,Salem,"Suburban, Large",No,455,33.33,13.65,250,Regular
Lexington,Middlesex County,Lexington,"Suburban, Large",No,936,99.2,9.44,118,Regular
Canton,Norfolk County,Canton,"Suburban, Large",No,716,68.06,10.52,170,Regular
Hingham,Plymouth County,Hingham,"Suburban, Large",No,402,32.2,12.48,30,Regular
Lynn,Essex County,Lynn,"Suburban, Large",No,563,46.8,12.03,464,Regular
Woburn,Middlesex County,Woburn,"Suburban, Large",No,1259,112.04,11.24,506,Regular
Wilmington,Middlesex County,Wilmington,"Suburban, Large",No,368,31.3,11.76,60,Regular
Longmeadow,Hampden County,Longmeadow,"Suburban, Large",No,429,37.07,11.57,65,Regular
Quincy,Norfolk County,Quincy,"Suburban, Large",No,318,24,13.25,114,Regular
Reading,Middlesex County,Reading,"Suburban, Large",No,236,17.65,13.37,17,Regular
Andover,Essex County,Andover,"Suburban, Large",No,317,35.5,8.93,46,Regular
Weston,Middlesex County,Weston,"Suburban, Large",No,299,20.69,14.45,26,Regular
Milford,Worcester County,Milford,"Suburban, Large",No,1036,84.48,12.26,621,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,482,39.03,12.35,427,Regular
Southwick-Tolland-Granville Regional School District,Hampden County,Southwick,"Suburban, Large",No,324,28.8,11.25,110,Regular
Abington,Plymouth County,Abington,"Suburban, Large",No,372,24.9,14.94,137,Regular
Wakefield,Middlesex County,Wakefield,"Suburban, Large",No,456,37.62,12.12,96,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,49,12.67,3.87,43,Special Education
Worcester,Worcester County,Worcester,"City, Midsize",No,36,12.77,2.82,33,Special Education
Worcester,Worcester County,Worcester,"City, Midsize",No,372,25.57,14.55,158,Regular
Worcester Cultural Academy Charter Public School,Worcester County,Worcester,"City, Midsize",Yes,194,13.33,14.55,146,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,519,44.77,11.59,320,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,731,51.1,14.31,620,Regular
Worcester,Worcester County,Worcester,"City, Midsize",No,1442,118.03,12.22,968,Vocational
Boston,Suffolk County,Mattapan,"City, Large",No,489,45.59,10.73,438,Other/Alternative
Newton,Middlesex County,Waban,"City, Small",No,399,35.3,11.3,54,Regular
